2024-12-19 14:53:42,878 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-19 14:53:42,880 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_setup.py:_flush():68] Configure stats pid to 17136
2024-12-19 14:53:42,880 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_setup.py:_flush():68] Loading settings from C:\Users\clara\.config\wandb\settings
2024-12-19 14:53:42,880 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_setup.py:_flush():68] Loading settings from C:\Users\clara\Desktop\TFG\Codigo TFG\4.FederatedTrainingMejorada\wandb\settings
2024-12-19 14:53:42,880 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-19 14:53:42,881 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\clara\Desktop\TFG\Codigo TFG\4.FederatedTrainingMejorada\wandb\run-20241219_145342-fa0iqrcd\logs\debug.log
2024-12-19 14:53:42,881 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\clara\Desktop\TFG\Codigo TFG\4.FederatedTrainingMejorada\wandb\run-20241219_145342-fa0iqrcd\logs\debug-internal.log
2024-12-19 14:53:42,881 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():644] calling init triggers
2024-12-19 14:53:42,882 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {}
2024-12-19 14:53:42,882 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():680] starting backend
2024-12-19 14:53:42,882 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():684] sending inform_init request
2024-12-19 14:53:42,896 INFO    Thread-1 (server_th_with_start_checks):17136 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-19 14:53:42,896 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():697] backend started and connected
2024-12-19 14:53:42,897 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():790] updated telemetry
2024-12-19 14:53:42,965 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-19 14:53:44,376 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():874] starting run threads in backend
2024-12-19 14:53:44,678 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_run.py:_console_start():2374] atexit reg
2024-12-19 14:53:44,678 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-19 14:53:44,678 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-19 14:53:44,678 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-19 14:53:44,683 INFO    Thread-1 (server_th_with_start_checks):17136 [wandb_init.py:init():916] run started, returning control to user process
